--ICPC-2n DAT bl 154b file with filename: AMF-v01-TXT_CSV.txt
--(Interncode: V403e) version Sep 29 2008  8:09AM
--This file is generated by KITH AS  Norway Dr.Terje Sagen 2008-09-29 08:09:45.130
--This file can be downloaded from http://www.kith.no/ICPC2e
--It contains 3797 rows
--Columns: Nivaa,AMF_Code,Decription_no,Level_code
-----------------------------------------------------------------------------------------------------------
"1","1000000000","KJEMISKE STOFFER","1"
"1","2000000000","FYSISKE FORHOLD","2"
"1","3000000000","BIOLOGISKE  AGENS","3"
"1","4000000000","ERGONOMISKE FORHOLD","4"
"1","5000000000","PSYKOSOSIALE FAKTORER","5"
"1","6000000000","INDUSTRIELLE FAKTORER, MATERIAL OG PRODUKTER","6"
"1","9","ANDRE STOFFER","9"
"2","1100000000","Uorganiske forbindelser","11"
"2","1200000000","Organiske forbindelser","12"
"2","19","Andre kjemiske agens","19"
"2","20","Inneklima","20"
"2","21","Termisk Miljø","21"
"2","22","Atmosfærisk miljø","22"
"2","23","Akustisk Miljø","23"
"2","24","Stråle miljø","24"
"2","25","Mekanisk miljø","25"
"2","29","Andre fysiskte forhold","29"
"2","3100000000","Bakterier","31"
"2","3200000000","Virus","32"
"2","3300000000","Parasitter","33"
"2","3400000000","Sopp (innkludert muggsopp)","34"
"2","3500000000","Planter","35"
"2","3600000000","Dyr","36"
"2","39","Andre biologiske stoffer","39"
"2","4000010000","Arbeidsstillinger","41"
"2","4000020000","Gjentakelsesarbeid (repetitivt arbeid)","42"
"2","4000030000","Arbeid i høyt tempo","43"
"2","4000040000","Diverse arbeidsbevegelser","44"
"2","4000050000","Løft og forflytning av objekter","45"
"2","4000060000","Skyve elller trekke objekter","46"
"2","4000070000","Andre typer av belastninger","47"
"2","49","Andre biomekaniske faktorer (forhold)","49"
"2","51","Arbeidsforhold","51"
"2","52","Mennslekige relasjoner","52"
"2","53","Trussel/fare","53"
"2","59","Andre psykososiale faktorer","59"
"2","60","(NA Industrielle faktorer, material og produkter)","60"
"2","69","Andre industrielle faktorer, materialer og produkter","69"
"2","99","(ANDRE STOFFER)","99"
"3","1101000000","Vannstoff","1101"
"3","1102000000","Alkalimetaller: Li, Na, K, Rb, Cs (Grunnstoffer i gruppe Ia)","1102"
"3","1103000000","Jordalkalimetaller: Be, Mg, Ca, Sr, Ba (grunnstoff)","1103"
"3","1104000000","Innskuddsmetaller: Sc, Y, Ac (grunnstoffer i gruppe IIIa)","1104"
"3","1105000000","Overgangsmetaller: Ti, Zr, Hf (Grunnstoffer i gruppe IVa)","1105"
"3","1106000000","Innskuddsmetaller: V, Nb, Ta (grunnstoffer i gruppe Va)","1106"
"3","1107000000","Innskuddsmetaller: Cr, Mo, W (grunnstoff i gruppe VIa)","1107"
"3","1108000000","Innskuddsmetaller: Mn, Tc, Re (grunnstoff i gruppe VIIa)","1108"
"3","1109000000","Innskuddsmetaller: Fe, Co, Ni, Ru, Rh, Pd, Os, Ir, Pt (grunnstoff i gruppe VIII)","1109"
"3","1110000000","Innskuddsmetaller: Cu, Ag, Au (grunnstoffer i gruppe Ib)","1110"
"3","1111000000","Innskuddsmetaller: Zn, Cd, Hg (grunnstoff i gruppe IIb)","1111"
"3","1112000000","Bor (grunnstoff i gruppe IIIb)","1112"
"3","1113000000","Ikke-metaller: Al, Ga; In, Tl (grunnstoffer i gruppe IIIb)","1113"
"3","1114000000","Ikke-metaller: Ge, Sn, Pb (grunnstoffer i gruppe IVb)","1114"
"3","1115000000","Ikke-metaller: As, Sb, Bi (grunnstoff i gruppe Vb)","1115"
"3","1116000000","Karbon (grunnstoff i gruppe IVb) (om radioaktivt, se nr. 1 24 00 00 06)","1116"
"3","1117000000","Silisium (grunnstoffer i gruppe IVb)","1117"
"3","1118000000","Nitrogen (grunnstoffer i gruppe Vb)","1118"
"3","1119000000","Fosfor (grunnstoffer i gruppe Vb)","1119"
