--ICPC-2n DAT bl 154b file with filename: c:\ICPC-2n-v40-DATTXT_CSV.txt
--(Interncode: V403e) V01-2008-09-22(2008-09-25 12:01:58.603)
--This file is generated by KITH AS  Norway Dr.Terje Sagen 2008-09-25 12:02:59.040
--This file can be downloaded from http://www.kith.no/ICPC2e
--It contains 740 rows
--Columns: ICPC2_Code,Title,Shorttitle,Icd10_DATCODE,Icd10_DATTEXT,ICD_DATCODE_DATTEXT
-----------------------------------------------------------------------------------------------------------
"A01","Smerte generell/flere steder","Smerte generell/flere steder","R529","Uspesifisert smerte","R529 Uspesifisert smerte"
"A02","Frysninger","Frysninger","R688","Andre spesifiserte generelle symptomer og tegn","R688 Andre spesifiserte generelle symptomer og tegn"
"A03","Feber","Feber","R509","Uspesifisert feber","R509 Uspesifisert feber"
"A04","Slapphet/tretthet","Slapphet/tretthet","G933","Postviralt utmattelsessyndrom","G933 Postviralt utmattelsessyndrom"
"A04","Slapphet/tretthet","Slapphet/tretthet","R53","Uvelhet og tretthet","R53 Uvelhet og tretthet"
"A05","Sykdomsfølelse","Sykdomsfølelse","R53","Uvelhet og tretthet","R53 Uvelhet og tretthet"
"A06","Besvimelse/synkope","Besvimelse/synkope","R55","Synkope og kollaps","R55 Synkope og kollaps"
"A07","Bevisstløshet/koma","Bevisstløshet/koma","R402","Uspesifisert koma","R402 Uspesifisert koma"
"A08","Hevelse/oppfylning IKA","Hevelse/oppfylning IKA","R688","Andre spesifiserte generelle symptomer og tegn","R688 Andre spesifiserte generelle symptomer og tegn"
"A09","Svetteproblemer","Svetteproblemer","R619","Uspesifisert hyperhidrose","R619 Uspesifisert hyperhidrose"
"A10","Blødning IKA","Blødning IKA","R58","Blødning, ikke klassifisert annet sted","R58 Blødning, ikke klassifisert annet sted"
"A11","Brystsmerte IKA","Brystsmerte IKA","R074","Uspesifisert brystsmerte","R074 Uspesifisert brystsmerte"
"A13","Engstelig for behandling","Engstelig for behandling","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"A16","Irritabelt/urolig spedbarn","Irritabelt/urolig spedbarn","R681","Uspesifikke symptomer typiske for spedbarn","R681 Uspesifikke symptomer typiske for spedbarn"
"A18","Bekymret/opptatt av utseende IKA","Bekymret/opptatt av utseende IKA","R468","Andre spesifiserte symptomer og tegn med tilknytning til utseende og atferd","R468 Andre spesifiserte symptomer og tegn med tilknytning til utseende og atferd"
"A20","Dødshjelp diskusjon/spørsmål om","Dødshjelp diskusjon/spørsmål om","Z718","Annen spesifisert rådgivning og veiledning","Z718 Annen spesifisert rådgivning og veiledning"
"A21","Økt risiko for ondartet svulst","Økt risiko for ondartet svulst","Z809","Opplysning om uspesifisert ondartet svulst i familieanamnesen","Z809 Opplysning om uspesifisert ondartet svulst i familieanamnesen"
"A23","Risiko for sykdom IKA","Risiko for sykdom IKA","Z918","Annen spesifisert risikofaktor i egen sykehistorie, ikke klassifisert annet sted","Z918 Annen spesifisert risikofaktor i egen sykehistorie, ikke klassifisert annet sted"
"A25","Engstelig for døden","Engstelig for døden","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"A26","Engstelig for kreft IKA","Engstelig for kreft IKA","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"A27","Engstelig for sykdom IKA","Engstelig for sykdom IKA","Z711","Frykt for lidelse der ingen diagnose er stilt","Z711 Frykt for lidelse der ingen diagnose er stilt"
"A28","Redusert funksjonsevne IKA","Redusert funksjonsevne IKA","Z736","Begrensning i aktiviteter grunnet uførhet","Z736 Begrensning i aktiviteter grunnet uførhet"
"A29","Generelle symptomer/plager IKA","Generelle symptomer/plager IKA","R688","Andre spesifiserte generelle symptomer og tegn","R688 Andre spesifiserte generelle symptomer og tegn"
"A70","Tuberkulose","Tuberkulose","A188","Uspesifisert tuberkulose i åndedrettsorganer, bakteriologisk eller histologisk bekreftelse ikke nevnt","A188 Uspesifisert tuberkulose i åndedrettsorganer, bakteriologisk eller histologisk bekreftelse ikke nevnt"
"A70","Tuberkulose","Tuberkulose","A199","Uspesifisert miliærtuberkulose","A199 Uspesifisert miliærtuberkulose"
"A71","Meslinger","Meslinger","B059","Meslinger uten komplikasjoner","B059 Meslinger uten komplikasjoner"
"A72","Vannkopper","Vannkopper","B019","Varicella uten komplikasjoner","B019 Varicella uten komplikasjoner"
"A73","Malaria","Malaria","B54","Uspesifisert malaria","B54 Uspesifisert malaria"
"A74","Røde hunder","Røde hunder","B069","Rubella uten komplikasjoner","B069 Rubella uten komplikasjoner"
"A75","Mononukleose","Mononukleose","B279","Uspesifisert mononukleose","B279 Uspesifisert mononukleose"
"A76","Virussykdom med utslett IKA","Virussykdom med utslett IKA","B09","Uspesifisert virusinfeksjon kjennetegnet ved hud- og slimhinnelesjoner","B09 Uspesifisert virusinfeksjon kjennetegnet ved hud- og slimhinnelesjoner"
"A77","Virussykdom IKA","Virussykdom IKA","B349","Uspesifisert virusinfeksjon","B349 Uspesifisert virusinfeksjon"
"A78","Infeksjonssykdom IKA","Infeksjonssykdom IKA","B99","Andre og uspesifiserte infeksjonssykdommer","B99 Andre og uspesifiserte infeksjonssykdommer"
"A79","Ondartet svulst IKA","Ondartet svulst IKA","C80","Ondartet svulst uten spesifisert lokalisasjon","C80 Ondartet svulst uten spesifisert lokalisasjon"
"A80","Skade/traume IKA","Skade/traume IKA","T149","Uspesifisert skade","T149 Uspesifisert skade"
"A81","Multiple skader/traumer","Multiple skader/traumer","T07","Flere skader, uspesifiserte","T07 Flere skader, uspesifiserte"
"A82","Følgetilstand etter skade/traume","Følgetilstand skade/traume","T941","Følgetilstander etter skader, ikke spesifisert etter kroppsregion","T941 Følgetilstander etter skader, ikke spesifisert etter kroppsregion"
"A84","Legemiddelforgiftning","Legemiddelforgiftning","T509","Andre og uspesifiserte legemidler og biologiske substanser","T509 Andre og uspesifiserte legemidler og biologiske substanser"
"A85","Bivirkning av legemiddel","Bivirkning legemiddel","T887","Annen og ikke spesifisert bivirkning av legemiddel","T887 Annen og ikke spesifisert bivirkning av legemiddel"
"A86","Toksisk virkning av ikke-medisinsk stoff","Toksisk virkning stoff IKA","T659","Toksisk virkning av uspesifisert stoff","T659 Toksisk virkning av uspesifisert stoff"
